"","Symbol","E12/E11","E13/E12","E14/E13","E13/E11","E14/E11","E14/E12"
"442","Sox11",NA,-0.925911412099032,-0.726826829573984,-0.726826829573984,-2.27722006599298,-1.74617630408731
"443","Sox12",NA,NA,NA,NA,-0.953095700721024,-0.603261505348724
"444","Sox13",NA,NA,NA,NA,NA,0.541570836545998
"445","Sox14",-1.06368201332226,NA,NA,NA,-4.11453026924953,-1.36213097972623
"446","Sox17",NA,0.667946884353083,NA,NA,NA,NA
"447","Sox2",1.3704398371417,NA,NA,NA,2.45827679694479,NA
"448","Sox4",NA,NA,NA,NA,-0.756771196413566,-0.701299841503332
"449","Sox5",NA,-0.983903467526906,NA,NA,-1.62790249887454,-1.16851015869471
"450","Sox6",NA,-1.10518530452087,NA,NA,-1.67150453216147,-1.29465289446405
"451","Sox8",0.78450447075041,NA,NA,NA,0.984757322686146,NA
"452","Sox9",NA,-1.02835253468249,NA,NA,-1.69838814519781,-1.25865486042733
"453","Sp100",1.13010973205647,NA,1.17176804204599,1.17176804204599,3.81198281960482,1.80797070136488
"454","Sp110",1.19562117280991,NA,NA,NA,2.71156949803136,1.10427787230702
"455","Sp140",NA,NA,NA,NA,2.11404089176939,1.28054944432481
"456","Sp3",NA,NA,NA,NA,-0.534572001853183,NA
"457","Sp4",-0.503761370782712,-0.670049013256893,NA,NA,-1.61361864731868,-1.06855804601475
"458","Sp5",1.32276213161576,0.978940448904375,NA,NA,3.14299010245196,1.16587893906384
"459","Sp6",-1.88368568887242,NA,NA,NA,NA,NA
"460","Sp8",-1.80097995887527,-0.839659823890673,NA,NA,-2.82773036077316,NA
"461","Spi1",1.12027219045136,NA,NA,NA,3.17652013333496,1.65061280637049
"462","Spic",NA,0.756308961288635,NA,NA,2.81152801865616,1.95693922801103
"463","Stat1",NA,NA,NA,NA,0.774366220318251,NA
"464","Stat3",NA,NA,NA,NA,0.848041347339236,0.609685327744766
"465","Stat4",NA,NA,NA,NA,-0.721300887343415,NA
"466","Stat5a",0.691624753446809,0.579073823165532,0.50394282253576,0.50394282253576,1.81729270193244,1.09548422280519
"467","Stat5b",NA,NA,NA,NA,0.882178836860295,0.53258140069986
"468","Stat6",0.698844747324604,0.505417119447207,0.598054583994763,0.598054583994763,1.88247211901692,1.14107235920118
