"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","cluster"
"Tfap2c",0.718085616035271,0.875486310090379,0.869470741327517,1,0.920694096076258,0.249404294304119,0.273944081016398,0.168518937875257,0.321532479164874,0.638028478440079,0.451983205752317,0.40842667939174,0.229080458665003,0.35677162228408,0.474087820430351,0.129935878082908,0.33914187208363,0.151684723231785,0.267098707089677,0.0254308530535682,0,0.591506368418599,0.715389182853534,1
"Zfp101",0.899924840770854,0.972502452096719,1,0.945868502351956,0.902694118650804,0.486379622068349,0.424108473607531,0.419245004166687,0.230622748650546,0.352509799858036,0.524953998388596,0.443923063610772,0.324158913733724,0.385096707917799,0.365543499210743,0.35189182811833,0.534399550783327,0.158012168139908,0.0696501685696267,0,0.0795084046223593,0.256496617685878,0.298511636401364,1
"Zfp599",0.857599227370863,1,0.932947969158373,0.891791635639637,0.907430766974577,0.490819298977441,0.514413388600188,0.448081135896032,0.4278629842002,0.413743223600078,0.477776811631577,0.382054398243361,0.187575482678138,0.287167742658582,0.410937752099227,0.249356750629545,0.346808296912731,0.168221341985582,0.377558121817175,0.0448546874153108,0,0.12368758454564,0.191719639678554,1
"Zfp808",0.832759463950903,0.985260160041323,1,0.906959168546751,0.923179622718758,0.65857207770878,0.625363417474608,0.484822842877195,0.302165827904047,0.468964726212117,0.381455576116478,0.550275438471994,0.314639905073547,0.475199666167775,0.447400887477657,0.47092199378531,0.582888255850797,0.140456512187973,0.199369668517083,0,0.275353491939695,0.363268242831671,0.224676216535715,1
"Zfp934",0.800323478436609,0.959581023546805,0.977290097186823,0.797316881228243,1,0.653425253756508,0.653738099736948,0.519536554519028,0.176992518394777,0.417560850215,0.475181987320628,0.479622055674023,0.312263100753489,0.377918408789231,0.316730445370205,0.372849384831414,0.508245776348199,0.109527057583457,0,0.0800424426782936,0.201166816080799,0.376704156422004,0.0660500391101997,1
"Zfp946",0.876689774328909,1,0.966712502688963,0.916776840401311,0.963570154279633,0.576135610022011,0.498247731368599,0.464209051016497,0.294625628232603,0.424589577056689,0.43994085293797,0.451847731025294,0.341215161788399,0.471108967014589,0.370350685438533,0.409669791934263,0.460643600442291,0.207908638309943,0.102653438551904,0,0.222303488239138,0.28878435823543,0.166158449392474,1
"Zic5",0.885308747908229,0.957311590188933,0.970710976781156,1,0.938012486912447,0.541471532350444,0.539016754631007,0.488097593461222,0.549455661080245,0.383218143583553,0.422415571214017,0.341984110198339,0.338741789496666,0.340009951547849,0.322529720827369,0.181556207424556,0.250766145210298,0.203392438252392,0.349031308633575,0.217694006617093,0,0.242484443432629,0.391352540214988,1
"Atf3",0.0306598839541596,0.0967023278922108,0.11186775406554,0.253858137939625,0,0.704884960220113,0.92109239266781,0.744384689905656,0.548102992474255,0.26602510782996,0.269842392062397,0.297410361435824,0.645378698888039,0.547052356006777,0.466355329244697,0.451588768437276,0.269066015732727,0.495112675765879,1,0.812485632688301,0.654524752786575,0.637837739258419,0.508272683482094,2
"Barx1",0.242877491281867,0.39936636689788,0.389082108016362,0,0.208300385389906,0.583413046410859,0.672648126996378,0.591719567783505,0.828003056978127,0.605492384471941,0.934396810522181,0.612806712193769,0.324534114493521,0.217672420301323,0.147889313226309,0.462993542977788,1,0.683122467331229,0.782726572385216,0.448491581449505,0.463433812270349,0.540901013060423,0.882062709196558,2
"Barx2",0,0.336834321865647,0.254052363385515,0.464745630154488,0.372382965682441,0.347018395839455,0.463373468696404,0.44926570615935,0.761083461617503,0.922383218692171,0.957526491849976,0.76135792357708,0.0794228137851522,0.302452636851203,0.56287457432992,0.366698890813265,0.367342079789509,0.268443584316011,1,0.263534719811318,0.213522466818977,0.546877548718338,0.769015416437223,2
