,e11.sample1,e11.sample2,e11.sample3,e11.sample4,e11.sample5,e12.sample1,e12.sample2,e12.sample3,e12.sample4,e12.sample5,e12.sample6,e12.sample7,e13.sample1,e13.sample2,e13.sample3,e13.sample4,e13.sample5,e13.sample6,e13.sample7,e14.sample1,e14.sample2,e14.sample3,e14.sample4,cluster,Family
Dbx1,0.394482075,0.201739981,0.22544231,0,0.021412541,0.680899787,0.814419425,0.824537274,0.954047743,0.796919325,0.773647212,0.776739742,0.705972952,0.887578765,0.816624065,0.942973891,0.697852702,0.655387998,0.837818876,0.985812469,1,0.452466948,0.766461615,2,Homeobox
Dbx2,0.176412551,0.133227516,0.147094195,0.059622273,0,0.392109417,0.399577916,0.368704827,0.596061742,0.869991645,1,0.937042489,0.845812207,0.739963283,0.941697417,0.773082068,0.836112137,0.780073675,0.610208136,0.629484287,0.398547072,0.656135779,0.792411341,2,Homeobox
Hoxb9,0.373817352,0.078210877,0,0.106543313,0.097289505,0.265823613,0.403536649,0.35719874,1,0.841225971,0.476911416,0.508653839,0.889734459,0.921610859,0.75494223,0.769082013,0.660413992,0.700480992,0.554291537,0.53776684,0.751225348,0.385390446,0.434412485,2,Homeobox
Hoxc8,0.133028472,0.135804942,0.082210043,0.218202802,0.188972618,0.525463931,0.878830124,0.638727377,0.416890392,0.620952366,0,0.203002209,0.511248048,0.369915759,0.245306501,0.879426045,1,0.686419462,0.221900258,0.855878266,0.96231227,0.608056926,0.250109185,2,Homeobox
Hoxd1,0.164755794,0.246151186,0.199273445,0,0.208316785,0.426480688,0.650106172,0.685832189,0.539896205,0.61694856,0.398691314,0.520019438,0.813898698,0.79462737,0.700283288,0.868527817,0.97574718,0.836172787,0.710213959,0.901059419,1,0.596702738,0.570522879,2,Homeobox
Irx1,0.327766311,0.208353985,0.207908492,0.026322545,0,0.703448778,0.702017272,0.757918284,0.767833602,0.795310233,0.760190815,0.718532249,1,0.913086689,0.831701967,0.910989659,0.983867961,0.924565405,0.809863946,0.858880333,0.867694017,0.937684682,0.890062822,2,Homeobox
Irx2,0,0.322180825,0.212817811,0.19393894,0.272702795,0.322324248,0.414425916,0.47013385,0.44160912,0.85913641,0.645277317,0.639734703,0.974334633,0.876433729,0.766537247,0.856538883,1,0.822028396,0.514245793,0.719883445,0.776661848,0.932006243,0.921983085,2,Homeobox
Irx5,0.136860023,0.510485893,0.536108365,0,0.316478608,0.231115323,0.330564759,0.486539315,0.230238268,0.628228219,0.362550364,0.269356098,0.904769055,0.70170978,0.593957411,0.72265586,1,0.76045897,0.095775169,0.561835924,0.476022772,0.64833056,0.643578716,2,Homeobox
Meis3,0.156156972,0.136939428,0.191841551,0.013678163,0,0.07387422,0.353088466,0.325046385,0.321425637,0.515318846,0.035457443,0.048218716,0.773814162,0.66794793,0.370025211,0.758974055,0.982633484,0.601216031,0.43293622,0.742561004,1,0.42250338,0.5835218,2,Homeobox
Pitx1,0.753425411,0.130873776,0.160031787,0.098731555,0,0.526507427,0.832877136,1,0.881048995,0.451581494,0.438469497,0.459956964,0.353495095,0.537307681,0.545598368,0.732515387,0.715618234,0.47257215,0.782226186,0.585291096,0.809500062,0.042662429,0.254746334,2,Homeobox
Ahr,0,0.150298541,0.131696257,0.184802085,0.222484797,0.148857466,0.273686728,0.154183744,0.541454965,0.818002879,0.630199816,0.683844451,0.836683459,0.895559713,0.840062309,0.83116348,0.77675551,0.808857579,0.578282843,0.796877497,0.937369371,1,0.981890344,2,bHLH
Arntl2,0.21131597,0.526578167,0.362008422,0.488425134,0.671014726,0.644131724,0.510933718,0.452097897,0.641684448,0.973580409,0.888053793,0.99311697,0.783672817,0.993177708,0.576113483,0.515716379,0.690742988,0.433847346,0.601246252,0.491974409,0,1,0.925339893,2,bHLH
Bhlhe22,0,0.054159139,0.11907977,0.06222338,0.15616493,0.000192968,0.305977514,0.216454236,0.059348566,0.647743377,0.510024115,0.542573685,1,0.94544641,0.730841795,0.772550147,0.798342185,0.756119431,0.319135947,0.726412506,0.675983857,0.846111825,0.642557259,2,bHLH
Bhlhe40,0,0.351582899,0.163918625,0.442891889,0.313214879,0.014700692,0.205272584,0.802793862,0.151331837,0.630007959,0.552541893,0.507614565,0.67534896,0.606801436,0.664717805,0.44630711,0.593553544,0.622246301,0.441082381,0.406695878,0.417773374,0.925908801,1,2,bHLH
Hey2,0.330259388,0.2029821,0.337389735,0.348515985,0,0.677946149,0.700536484,0.521031944,0.504843611,0.819946723,0.571877982,0.589598021,0.981035073,0.976147069,0.885182142,0.924942242,1,0.881711604,0.27834564,0.579782804,0.783068416,0.855497329,0.809741866,2,bHLH
Heyl,0.321404748,0.139361654,0.050574961,0.115333714,0,0.219245443,0.42253477,0.347655579,0.831407093,0.757915069,0.55923121,0.629776911,0.795664081,0.990515938,0.71085661,1,0.760029453,0.806689603,0.637867873,0.888427906,0.921335723,0.628740673,0.634341673,2,bHLH
Hif3a,0.347051908,0.483424259,0.447281137,0.267959683,0.461955831,0,0.016914571,0.279983979,0.122654223,0.509985307,0.272764409,0.317198379,0.801971152,0.499849546,0.268038171,0.860497079,0.849930774,0.829428828,0.094736827,0.65489306,0.808725829,1,0.946955267,2,bHLH
Msc,0.871048029,0.536305924,0.493786977,0,0.047331093,0.602225911,0.799854973,0.775024592,0.869626479,0.663529496,0.65600081,0.630199663,0.472280715,0.843027433,0.619511413,0.941643735,0.504382374,0.525487249,0.975102,0.950790933,1,0.174410597,0.524849188,2,bHLH
Myc,0.615688156,0.202515217,0.292168482,0.004161626,0.243268609,0,0.200739558,0.269374468,0.699734916,0.611317843,0.625067601,0.533175399,0.74129491,0.68852053,0.735752425,0.735836868,0.81942087,0.663150529,0.936431662,0.754451239,1,0.826959131,0.74561978,2,bHLH
