TFs,E12.E11,E13.E12,E14.E13,,,,,,,,,,Gene,E12-E11,E13-12,E14-13
,,,,,,,,,,,,,Epha1,-0.62,NA,NA
,,,,,,,,,,,,,Fanci,-0.62,NA,NA
,,,,,,,,,,,,,Blm,-0.62,NA,NA
,,,,,,,,,,,,,Depdc1a,-0.62,NA,-0.55
,,,,,,,,,,,,,Gen1,-0.62,NA,NA
,,,,,,,,,,,,,Cdc14b,-0.62,NA,NA
,,,,,,,,,,,,,Lrrc51,-0.62,NA,NA
,,,,,,,,,,,,,Lpar2,-0.62,NA,NA
,,,,,,,,,,,,,Mcm10,-0.62,NA,NA
,,,,,,,,,,,,,Ect2,-0.62,NA,NA
,,,,,,,,,,,,,G2e3,-0.62,NA,NA
,,,,,,,,,,,,,Neil2,-0.62,NA,NA
,,,,,,,,,,,,,Phtf1os,-0.62,NA,NA
,,,,,,,,,,,,,Abhd6,-0.62,NA,NA
,,,,,,,,,,,,,Fancd2,-0.62,NA,NA
,,,,,,,,,,,,,Npm2,-0.62,NA,NA
,,,,,,,,,,,,,Psrc1,-0.62,NA,NA
,,,,,,,,,,,,,Sh3d19,-0.62,NA,NA
,,,,,,,,,,,,,4933408B17Rik,-0.61,NA,NA
,,,,,,,,,,,,,Casd1,-0.61,NA,NA
,,,,,,,,,,,,,Msi1,-0.61,-0.51,-0.54
,,,,,,,,,,,,,Bbs1,-0.61,NA,NA
,,,,,,,,,,,,,Cyb561,-0.61,NA,NA
,,,,,,,,,,,,,A230072C01Rik,-0.61,NA,NA
,,,,,,,,,,,,,Wdr54,-0.61,NA,NA
,,,,,,,,,,,,,Esco2,-0.61,NA,NA
,,,,,,,,,,,,,Sgol1,-0.60,NA,NA
,,,,,,,,,,,,,Acvr1b,-0.60,NA,NA
