"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4"
"Lhx8",8,2,2,6,1,22,38,26,21,49,12,29,81,52,36,72,79,35,41,40,39,30,43
"Lin28a",38,56,55,117,54,5,9,15,9,1,0,5,14,12,8,8,3,3,13,3,5,11,12
"Lin28b",1065,1112,1075,1403,658,436,488,368,371,249,147,170,279,274,281,192,121,117,427,165,210,187,162
"Ltf",2,5,10,4,5,8,24,16,39,5,17,16,26,9,17,11,17,0,3,7,10,288,284
"Lyl1",182,125,93,194,87,174,227,216,660,281,270,308,911,658,785,430,259,356,1256,703,949,561,590
"Maf",1290,814,814,991,717,2164,2525,1658,2390,3281,2360,3237,5848,4470,4043,3516,2251,2213,4219,4147,5098,3204,2896
"Mitf",165,152,144,159,114,194,242,203,494,637,240,359,1427,1041,769,623,364,439,365,546,642,1012,769
"Mnx1",14,21,33,23,14,5,13,17,6,5,4,1,2,3,9,1,3,1,4,0,1,1,1
"Msc",764,383,351,189,111,651,973,853,935,1055,543,589,1056,1247,786,1287,441,460,945,948,801,317,524
"Mycn",2369,3105,3025,3652,2013,1070,1104,1253,1534,1550,924,903,1474,985,1332,912,699,607,802,456,353,511,573
"Myt1l",6,4,4,2,2,21,16,12,12,18,10,12,32,8,8,12,19,6,6,1,5,7,2
"Nanog",6,3,4,4,3,30,20,7,9,19,5,10,33,9,6,11,9,12,7,11,4,8,4
"Nfe2l3",47,39,33,54,18,140,135,156,107,242,92,93,505,307,260,226,244,174,112,89,60,180,110
"Nfib",5581,5765,5489,4151,2827,11657,14620,11464,8084,27042,11047,12956,35873,21990,16531,25458,20597,14359,8142,15702,14244,16000,15171
"Nfic",2390,2657,2552,2665,1554,3632,4926,4150,3870,8953,4378,4485,14393,7858,5941,8315,6935,5967,3470,5882,5306,7344,7633
"Nfix",1734,1829,1912,1700,1097,4823,6126,5165,4828,16123,7448,7850,25775,13959,10405,15401,12057,11139,4624,10722,9007,12429,13741
"Nkx1-1",4,7,8,45,16,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"Nkx3-1",10,8,11,23,11,3,1,0,2,11,1,5,7,2,3,0,3,1,3,1,1,8,3
"Npas2",8,8,9,12,5,21,66,32,30,143,64,59,319,173,103,182,136,112,30,97,69,164,165
"Nr0b1",7,16,11,13,14,6,4,4,0,4,2,2,4,11,5,2,2,2,3,4,1,6,3
"Nr3c1",600,715,587,644,409,1205,1520,1190,1083,3744,1406,1931,6927,4158,3280,3599,2526,2265,1536,2247,2092,4565,3801
"Nr3c2",20,14,18,12,6,61,66,64,33,169,61,79,284,135,96,171,142,112,32,127,111,85,105
"Nr4a1",482,572,524,618,311,1176,2010,1581,1344,2983,1349,1519,8595,2921,2420,3285,2125,1940,1818,1892,1121,4254,2734
